"MSFD broad habitat type","Extent of habitat 1000 km2","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Total",344.37,"0.0","<0.1","<0.1","<0.1","   0.2","   0.6","   1.5","   3.2","   6.8","  21.8"
"Circalittoral mixed sediment",99.58,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.9"
"Circalittoral mud or Circalittoral sand",49.41,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","   1.2"
"Offshore circalittoral mud or Offshore circalittoral sand",29.71,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","   0.5"
"Circalittoral sand",27.92,"0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","   0.2","   1.0","   3.1"
"Circalittoral mud",27.69,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","   0.4","   2.9"
"Offshore circalittoral mud",21.32,"0.0","   0.0","   0.0","   0.0","<0.1","   0.2","   0.6","   1.2","   2.3","   4.2"
"Infralittoral sand",20.94,"0.0","   0.0","   0.0","   0.0","<0.1","   0.2","   0.6","   1.1","   1.6","   2.9"
"Offshore circalittoral mixed sediment",18.11,"0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","   0.2","   0.8","   2.8"
"Infralittoral mixed sediment",17.02,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","   1.0"
"Circalittoral coarse sediment",9.81,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","   0.2"
"Circalittoral rock and biogenic reef",6.53,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1"
"Infralittoral coarse sediment",6.49,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","   0.2"
"Infralittoral rock and biogenic reef",3.41,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1"
"Offshore circalittoral sand",2.02,"0.0","<0.1","<0.1","<0.1","<0.1","   0.2","   0.3","   0.4","   0.6","   0.8"
"Infralittoral mud",1.99,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","   0.2"
"Infralittoral mud or Infralittoral sand",1.69,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1"
"Offshore circalittoral coarse sediment",0.58,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1"
"Offshore circalittoral rock and biogenic reef",0.16,"0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1"
