"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Offshore circalittoral sand",34.97,20.4,15.64,12.49,84.68,2.42,85,68.7,3.7
"Offshore circalittoral mud",31.48,18.3,14.89,31.13,121.86,3.87,75,54.5,16.4
"Upper bathyal sediment",26.4,15.4,21.61,0.96,53.25,2.02,51,35.3,19.7
"Circalittoral sand",16.24,9.5,3.75,13,46.18,2.84,60,44.3,26.5
"Offshore circalittoral coarse sediment",11.92,6.9,3.67,8,33.49,2.81,91,74.8,1.1
"Circalittoral coarse sediment",8.54,5,4.24,19.98,51.68,6.05,84,61.2,3.9
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",8.4,4.9,0.5,0.02,3.8,0.45,22,21.7,40.9
"Offshore circalittoral rock and biogenic reef",7,4.1,2.4,2.43,10.7,1.53,58,50.5,18.1
"Circalittoral rock and biogenic reef",6.88,4,0.66,1.82,4.21,0.61,25,23.2,47.1
"Circalittoral mud",6.26,3.6,2.1,2.15,31.11,4.97,48,27.9,32.9
"Offshore circalittoral mixed sediment",3.36,2,2.34,9.22,22.13,6.59,81,60.9,14.2
"Circalittoral mixed sediment",2.97,1.7,0.2,0.33,2.72,0.92,12,8.3,79.3
"Infralittoral sand",1.91,1.1,0.11,0.19,0.94,0.49,10,5.9,64.5
"Infralittoral rock and biogenic reef",1.65,1,0.02,0.07,0.15,0.09,6,12.4,66.1
"Upper bathyal rock and biogenic reef",1.23,0.7,0.89,0,1.54,1.26,41,34,37.6
"Infralittoral mud",0.56,0.3,0.02,0.04,0.11,0.21,6,4.7,62.1
"Lower bathyal sediment",0.5,0.3,0.03,0,0.05,0.1,7,26.7,28.3
"Infralittoral coarse sediment",0.45,0.3,0.02,0.02,0.12,0.27,11,15.2,41.6
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.34,0.2,0.01,0,0.02,0.07,6,34.6,43.2
"Unknown",0.31,0.2,0.14,0.06,0.15,0.48,27,27.8,56.9
"Infralittoral mixed sediment",0.3,0.2,0.02,0,0.2,0.66,15,8.8,52.3
"Lower bathyal rock and biogenic reef",0.04,0,0,0,0,0.04,4,NA,30.5
"Abyssal",0.01,0,0,0,0,0.01,1,NA,3.4
