"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Circalittoral sand",58.13,27.2,82.75,135.58,112.62,1.94,69,53.7,3.1
"Offshore circalittoral sand",50.93,23.8,56.24,101.2,118.31,2.32,79,61.4,0.2
"Offshore circalittoral mud",42.52,19.9,36.13,92.57,151.06,3.55,89,58.8,0.2
"Offshore circalittoral coarse sediment",19.7,9.2,38.13,99.57,104.73,5.32,79,51.3,0.1
"Circalittoral coarse sediment",11.56,5.4,19.63,35.2,40.76,3.53,62,38.5,3
"Infralittoral sand",8.96,4.2,15.05,29.1,11.9,1.33,37,28.9,42.9
"Circalittoral mud",6.41,3,11.85,16.39,14.02,2.19,60,48.1,12
"Circalittoral mixed sediment",4.5,2.1,4.14,4.47,4.22,0.94,39,39.8,17.9
"Offshore circalittoral mixed sediment",2.95,1.4,2.05,5.95,7.52,2.54,72,60.9,1
"Upper bathyal sediment",2.48,1.2,2.48,12.6,15.51,6.27,83,62.5,7.9
"Infralittoral mud",1.37,0.6,7.6,4.52,0.92,0.67,22,23.9,44.5
"Infralittoral coarse sediment",1.23,0.6,3.88,7.71,2.15,1.75,55,50.2,23.9
"Infralittoral mixed sediment",1.11,0.5,0.65,0.38,0.08,0.07,4,14.9,60.8
"Unknown",0.85,0.4,1.45,3.63,3.28,3.84,90,65.8,0.5
"Offshore circalittoral rock and biogenic reef",0.56,0.3,0.38,1.53,1.32,2.34,52,40,4.1
"Circalittoral rock and biogenic reef",0.42,0.2,0.18,0.6,0.33,0.79,30,30.3,19
"Infralittoral rock and biogenic reef",0.3,0.1,0.27,0.79,0.32,1.06,32,27.7,17.4
"Upper bathyal rock and biogenic reef",0,0,0,0,0,4.04,98,NA,0
