"MSFD broad habitat type","Extent of habitat 1000 km2","Swept area (x1000 km^2^)","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Circalittoral sand",58.13,112.62,"   0.1","   1.1","   3.3"," 7.0","  12.1"," 18.8"," 27.5"," 38.4"," 56.0","100.0"
"Offshore circalittoral sand",50.93,118.31,"   1.4","   4.1","   7.1","10.5","  14.8"," 20.5"," 27.4"," 36.2"," 50.1","100.0"
"Offshore circalittoral mud",42.52,151.06,"   1.5","   3.5","   6.1"," 9.6","  14.1"," 20.6"," 30.0"," 44.0"," 63.5","100.0"
"Offshore circalittoral coarse sediment",19.7,104.73,"   0.3","   1.0","   2.6"," 5.7","  10.8"," 17.6"," 26.8"," 39.8"," 60.0","100.0"
"Circalittoral coarse sediment",11.56,40.76,"<0.1","   0.5","   1.5"," 3.2","   5.6","  9.3"," 14.2"," 20.8"," 36.5","100.0"
"Infralittoral sand",8.96,11.9,"   0.0","   0.0","   0.0"," 0.0","   0.1","  1.6","  9.8"," 28.0"," 54.8","100.0"
"Circalittoral mud",6.41,14.02,"   0.0","   0.3","   2.1"," 5.7","  10.4"," 17.7"," 27.3"," 42.2"," 63.5","100.0"
"Circalittoral mixed sediment",4.5,4.22,"   0.0","<0.1","   0.4"," 1.8","   5.0"," 10.2"," 18.7"," 27.2"," 50.3","100.0"
"Offshore circalittoral mixed sediment",2.95,7.52,"   0.6","   3.1","   6.1","10.5","  15.8"," 23.2"," 31.9"," 45.3"," 66.5","100.0"
"Upper bathyal sediment",2.48,15.51,"   6.4","  13.7","  19.9","27.8","  33.8"," 44.3"," 52.8"," 68.9"," 82.9","100.0"
"Infralittoral mud",1.37,0.92,"   0.0","   0.0","   0.0"," 0.0","<0.1","  2.5","  8.5"," 19.9"," 39.5","100.0"
"Infralittoral coarse sediment",1.23,2.15,"   0.0","   0.0","<0.1"," 1.6","  11.5"," 22.0"," 30.7"," 46.3"," 71.0","100.0"
"Infralittoral mixed sediment",1.11,0.08,"   0.0","   0.0","   0.0"," 0.0","   0.0","  0.0","  1.2","  5.2"," 19.5","100.0"
"Unknown",0.85,3.28,"   2.6","   5.2","   9.2","12.0","  16.7"," 28.2"," 44.6"," 63.8"," 83.5","100.0"
"Offshore circalittoral rock and biogenic reef",0.56,1.32,"<0.1","   0.5","   1.0"," 2.3","   5.2"," 10.1"," 16.5"," 35.3"," 57.0","100.0"
"Circalittoral rock and biogenic reef",0.42,0.33,"   0.0","<0.1","   0.1"," 0.7","   2.6","  5.4"," 10.1"," 22.0"," 48.9","100.0"
"Infralittoral rock and biogenic reef",0.3,0.32,"   0.0","<0.1","   0.1"," 0.3","   0.8","  2.2","  5.3"," 21.4"," 40.1","100.0"
"Upper bathyal rock and biogenic reef",0,0,"   9.2","  29.9","  29.9","29.9","  29.9","100.0","100.0","100.0","100.0","100.0"
