"MSFD broad habitat type","Extent of habitat 1000 km2","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Total",213.99,"   5.8","  16.3","  31.3","  49.9","  77.1"," 113.5"," 166.2"," 241.3"," 342.7"," 526.5"
"Circalittoral sand",58.13,"   0.4","   2.8","   7.2","  12.0","  18.5","  27.0","  37.2","  51.0","  76.3"," 132.4"
"Offshore circalittoral sand",50.93,"   2.3","   6.0","   9.9","  13.7","  19.0","  25.8","  35.5","  49.2","  66.9"," 100.7"
"Offshore circalittoral mud",42.52,"   2.4","   5.1","   8.1","  12.1","  18.0","  25.1","  34.5","  47.2","  64.2","  91.6"
"Offshore circalittoral coarse sediment",19.7,"   0.4","   1.1","   2.8","   5.7","  11.3","  18.1","  29.1","  49.1","  66.8","  99.5"
"Circalittoral coarse sediment",11.56,"<0.1","   0.4","   1.0","   2.3","   3.5","   5.6","   7.7","  11.0","  19.6","  34.2"
"Infralittoral sand",8.96,"   0.0","   0.0","   0.0","   0.0","   0.2","   1.4","   6.8","  11.6","  18.1","  26.4"
"Circalittoral mud",6.41,"   0.0","   0.1","   0.6","   1.4","   2.4","   3.6","   5.0","   7.3","  10.0","  13.8"
"Circalittoral mixed sediment",4.5,"   0.0","<0.1","<0.1","<0.1","   0.2","   0.5","   1.0","   1.6","   2.6","   4.3"
"Offshore circalittoral mixed sediment",2.95,"<0.1","   0.2","   0.5","   0.8","   1.4","   1.9","   2.7","   3.6","   4.6","   6.0"
"Upper bathyal sediment",2.48,"<0.1","   0.2","   0.3","   0.4","   0.5","   0.7","   0.8","   0.9","   1.0","   1.2"
"Infralittoral mud",1.37,"   0.0","   0.0","   0.0","   0.0","<0.1","   0.3","   0.6","   1.0","   1.6","   2.2"
"Infralittoral coarse sediment",1.23,"   0.0","   0.0","<0.1","   0.2","   1.0","   1.6","   2.7","   4.2","   6.2","   7.6"
"Infralittoral mixed sediment",1.11,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","   0.2"
"Unknown",0.85,"   0.1","   0.2","   0.9","   1.0","   1.1","   1.7","   2.4","   2.7","   3.3","   3.6"
"Offshore circalittoral rock and biogenic reef",0.56,"<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.2","   0.6","   0.9","   1.5"
"Circalittoral rock and biogenic reef",0.42,"   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.2","   0.6"
"Infralittoral rock and biogenic reef",0.3,"   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.2","   0.3","   0.7"
"Upper bathyal rock and biogenic reef",0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
