"MSFD broad habitat type","Extent of habitat 1000 km2","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Total",213.99,"   5.2","  12.6","  22.1","  33.4","  48.4","  67.1","  91.1"," 122.7"," 172.8"," 262.2"
"Circalittoral sand",58.13,"   0.2","   1.6","   4.2","   6.3","   9.3","  14.2","  19.9","  28.6","  44.4","  81.6"
"Offshore circalittoral sand",50.93,"   1.9","   4.7","   7.2","   9.6","  13.1","  17.0","  21.1","  25.6","  37.1","  56.1"
"Offshore circalittoral mud",42.52,"   2.7","   5.2","   7.5","  10.6","  14.2","  17.5","  20.9","  24.6","  28.8","  35.9"
"Offshore circalittoral coarse sediment",19.7,"   0.2","   0.6","   1.3","   2.9","   5.6","   8.6","  12.9","  20.2","  26.5","  38.1"
"Circalittoral coarse sediment",11.56,"<0.1","   0.2","   0.6","   1.4","   2.0","   3.3","   4.9","   7.3","  13.8","  19.3"
"Infralittoral sand",8.96,"   0.0","   0.0","   0.0","   0.0","<0.1","   0.7","   3.6","   5.4","   7.8","  11.8"
"Circalittoral mud",6.41,"   0.0","<0.1","   0.5","   1.3","   2.1","   2.5","   3.0","   3.9","   4.5","   5.4"
"Circalittoral mixed sediment",4.5,"   0.0","<0.1","<0.1","<0.1","   0.2","   0.3","   0.7","   1.0","   1.6","   3.9"
"Offshore circalittoral mixed sediment",2.95,"<0.1","   0.2","   0.3","   0.4","   0.6","   0.8","   1.1","   1.4","   1.7","   2.1"
"Upper bathyal sediment",2.48,"<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.1","   0.2","   0.2","   0.3"
"Infralittoral mud",1.37,"   0.0","   0.0","   0.0","   0.0","<0.1","   0.2","   0.4","   0.7","   1.4","   1.6"
"Infralittoral coarse sediment",1.23,"   0.0","   0.0","<0.1","   0.1","   0.5","   0.9","   1.5","   2.3","   3.2","   3.8"
"Infralittoral mixed sediment",1.11,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","   0.1"
"Unknown",0.85,"<0.1","   0.1","   0.5","   0.6","   0.7","   0.9","   1.1","   1.2","   1.3","   1.4"
"Offshore circalittoral rock and biogenic reef",0.56,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.2","   0.2","   0.4"
"Circalittoral rock and biogenic reef",0.42,"   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.2"
"Infralittoral rock and biogenic reef",0.3,"   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.2"
"Upper bathyal rock and biogenic reef",0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
