"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Infralittoral sand",11.38,20.2,1.48,1.3,5.64,0.5,29,28,27.4
"Circalittoral mixed sediment",10.52,18.7,0.97,0.5,1.58,0.15,10,15.6,54.4
"Offshore circalittoral mud",9.38,16.6,4.64,3.05,9.21,0.98,57,50.6,2.1
"Circalittoral sand",8.37,14.8,1.49,1.11,4.3,0.51,36,37.3,18
"Offshore circalittoral mixed sediment",3.25,5.8,1.75,1.31,3.95,1.21,38,30.7,7.1
"Infralittoral coarse sediment",2.84,5,0.08,0.04,0.11,0.04,3,12.9,67.1
"Infralittoral mixed sediment",2.78,4.9,0.04,0.03,0.07,0.03,2,13.3,68.3
"Circalittoral mud",1.68,3,0.74,0.56,1.69,1.01,57,54.9,3.3
"Offshore circalittoral sand",1.46,2.6,0.96,0.56,1.67,1.14,54,47.4,7.6
"Offshore circalittoral mud or Offshore circalittoral sand",1.38,2.4,0.07,0.05,0.15,0.11,8,17.8,23.1
"Circalittoral coarse sediment",1.27,2.3,0.03,0.02,0.08,0.06,5,18,53.1
"Circalittoral mud or Circalittoral sand",1.25,2.2,0.14,0.06,0.17,0.13,13,34.5,18.7
"Infralittoral rock and biogenic reef",0.54,0.9,0,0,0.01,0.01,1,22.5,61.9
"Infralittoral mud",0.19,0.3,0.01,0.01,0.03,0.17,16,56.3,7.6
"Circalittoral rock and biogenic reef",0.07,0.1,0,0,0,0.07,7,43.6,33.2
"Infralittoral mud or Infralittoral sand",0.04,0.1,0,0,0,0,0,NA,100
"Offshore circalittoral coarse sediment",0.03,0.1,0,0,0,0.12,10,41.4,3.6
"Offshore circalittoral rock and biogenic reef",0,0,0,0,0,0.36,30,NA,0
