"MSFD broad habitat type","Extent of habitat 1000 km2","Swept area (x1000 km^2^)","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Infralittoral sand",11.38,5.64,"   0.0","   0.0","<0.1","0.4"," 1.5"," 3.8"," 8.6"," 19.2"," 40.7","100.0"
"Circalittoral mixed sediment",10.52,1.58,"   0.0","   0.0","   0.0","0.0"," 0.0"," 0.5"," 1.6","  5.0"," 20.0","100.0"
"Offshore circalittoral mud",9.38,9.21,"   0.2","   0.9","   2.2","5.5","10.5","19.1","30.5"," 45.4"," 66.0","100.0"
"Circalittoral sand",8.37,4.3,"   0.0","<0.1","   0.3","1.2"," 3.2"," 7.7","19.1"," 35.4"," 59.5","100.0"
"Offshore circalittoral mixed sediment",3.25,3.95,"<0.1","   0.3","   0.8","1.5"," 3.0"," 5.6","10.4"," 17.6"," 33.6","100.0"
"Infralittoral coarse sediment",2.84,0.11,"   0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.5","  4.5"," 14.7","100.0"
"Infralittoral mixed sediment",2.78,0.07,"   0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 0.4","  5.7"," 15.1","100.0"
"Circalittoral mud",1.68,1.69,"   0.1","   0.7","   2.2","6.5","13.7","23.3","33.4"," 46.9"," 69.7","100.0"
"Offshore circalittoral sand",1.46,1.67,"<0.1","   0.4","   1.6","4.2"," 9.3","16.5","30.9"," 48.3"," 68.9","100.0"
"Offshore circalittoral mud or Offshore circalittoral sand",1.38,0.15,"   0.0","   0.0","   0.5","1.2"," 2.3"," 3.9"," 6.3","  9.7"," 17.1","100.0"
"Circalittoral coarse sediment",1.27,0.08,"   0.0","   0.0","   0.0","0.0"," 0.0"," 1.0"," 4.1","  9.3"," 17.8","100.0"
"Circalittoral mud or Circalittoral sand",1.25,0.17,"   0.0","   0.2","   1.0","2.0"," 4.2"," 7.3","15.2"," 29.1"," 56.1","100.0"
"Infralittoral rock and biogenic reef",0.54,0.01,"   0.0","   0.0","   0.0","0.0"," 0.0"," 0.0"," 4.8"," 15.9"," 36.5","100.0"
"Infralittoral mud",0.19,0.03,"   0.4","   3.4","   5.8","8.6","17.1","21.7","30.4"," 58.0"," 74.8","100.0"
"Circalittoral rock and biogenic reef",0.07,0,"   0.0","   0.0","   0.0","2.2"," 3.4","29.7","44.1"," 71.7","100.0","100.0"
"Infralittoral mud or Infralittoral sand",0.04,0,"   NaN","   NaN","   NaN","NaN"," NaN"," NaN"," NaN","  NaN","  NaN","  NaN"
"Offshore circalittoral coarse sediment",0.03,0,"   0.3","   2.2","   2.9","4.8","11.6","18.7","53.1"," 53.1"," 79.2","100.0"
"Offshore circalittoral rock and biogenic reef",0,0,"   2.5","   2.5","   2.5","2.5"," 2.5","17.2","17.2","100.0","100.0","100.0"
