"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Offshore circalittoral mud",8.34,43.9,4.54,12.22,26.31,3.16,78,49.4,0
"Offshore circalittoral sand",6.54,34.4,18.43,22.74,41.56,6.36,86,48.7,0.3
"Circalittoral sand",1.68,8.9,10.02,5.17,6.66,3.96,95,64.6,0
"Offshore circalittoral mixed sediment",1.16,6.1,1.32,2.83,3.36,2.9,77,57.1,0
"Offshore circalittoral coarse sediment",0.59,3.1,1.26,1.11,1.03,1.73,67,66.2,0
"Circalittoral coarse sediment",0.33,1.7,0.64,0.54,0.47,1.43,80,78.5,0
"Circalittoral mixed sediment",0.3,1.6,0.34,0.64,0.87,2.87,60,44.3,0
"Infralittoral sand",0.03,0.2,0.98,0.33,0.24,7.49,100,NA,0
"Circalittoral mud",0.02,0.1,0.02,0.03,0.07,3.54,85,NA,0
"Infralittoral coarse sediment",0,0,0,0,0,14.68,100,NA,0
