"MSFD broad habitat type","Extent of habitat 1000 km2","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Total",18.99,"   0.8","   1.9","   3.2","   4.9","   7.4","  10.9","  15.4","  21.4","  30.0","  45.6"
"Offshore circalittoral mud",8.34,"   0.2","   0.4","   0.6","   0.9","   1.2","   1.5","   1.9","   2.6","   5.1","  12.2"
"Offshore circalittoral sand",6.54,"   0.2","   0.7","   1.3","   2.2","   3.8","   6.1","   9.0","  12.9","  16.9","  22.7"
"Circalittoral sand",1.68,"   0.2","   0.3","   0.4","   0.6","   0.8","   1.1","   1.9","   2.6","   3.6","   5.2"
"Offshore circalittoral mixed sediment",1.16,"<0.1","   0.2","   0.4","   0.5","   0.8","   1.0","   1.3","   1.7","   2.2","   2.8"
"Offshore circalittoral coarse sediment",0.59,"<0.1","   0.1","   0.2","   0.2","   0.3","   0.4","   0.5","   0.6","   0.8","   1.1"
"Circalittoral coarse sediment",0.33,"<0.1","<0.1","   0.1","   0.2","   0.2","   0.3","   0.3","   0.4","   0.4","   0.5"
"Circalittoral mixed sediment",0.3,"<0.1","<0.1","   0.1","   0.1","   0.2","   0.2","   0.3","   0.3","   0.5","   0.6"
"Infralittoral sand",0.03,"<0.1","<0.1","   0.1","   0.2","   0.2","   0.2","   0.2","   0.3","   0.3","   0.3"
"Circalittoral mud",0.02,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Infralittoral coarse sediment",0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
