"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Offshore circalittoral sand",24.56,29.6,7.8,12.45,62.47,2.54,90,73.7,0
"Offshore circalittoral mud",17.1,20.6,6.93,31.08,82.3,4.81,97,72.8,0.1
"Offshore circalittoral coarse sediment",10.55,12.7,2.74,8,31.49,2.98,94,77.3,0
"Circalittoral sand",9.95,12,2.61,13,35.14,3.53,84,65.3,1.5
"Circalittoral coarse sediment",7.95,9.6,4.12,19.98,51.26,6.45,88,64.9,0.9
"Circalittoral rock and biogenic reef",2.83,3.4,0.36,1.82,3.67,1.3,48,44.1,5.2
"Circalittoral mud",2.46,3,0.36,2.15,5.37,2.18,59,45.9,5.8
"Offshore circalittoral rock and biogenic reef",2.16,2.6,0.73,2.43,6.96,3.23,97,82.9,0.1
"Offshore circalittoral mixed sediment",2,2.4,1.47,9.22,18.35,9.17,99,78.3,0
"Upper bathyal sediment",1.01,1.2,0.25,0.28,1.57,1.54,73,66.4,0
"Infralittoral rock and biogenic reef",0.77,0.9,0.01,0.07,0.13,0.17,10,20.4,39.9
"Infralittoral sand",0.59,0.7,0.04,0.19,0.3,0.51,18,14.9,36.5
"Infralittoral coarse sediment",0.32,0.4,0,0.02,0.02,0.06,5,34.2,44.7
"Infralittoral mud",0.31,0.4,0.01,0.04,0.07,0.22,7,4,60.1
"Circalittoral mixed sediment",0.21,0.3,0.06,0.33,1.05,4.94,92,70.8,3.3
"Unknown",0.1,0.1,0.01,0.03,0.05,0.53,29,40,25
"Infralittoral mixed sediment",0.04,0.1,0,0,0,0.07,7,7.5,77.1
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0.01,0,0,0,0.01,0.77,45,NA,0
"Upper bathyal rock and biogenic reef",0,0,0,0,0.01,4.38,100,NA,0
