"MSFD broad habitat type","Extent of habitat 1000 km2","Swept area (x1000 km^2^)","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Offshore circalittoral sand",24.56,62.47,"   2.0","  6.5"," 12.5","  20.2"," 29.0","  38.8"," 50.4"," 63.3"," 78.8","100.0"
"Offshore circalittoral mud",17.1,82.3,"   2.5","  6.5"," 11.5","  17.5"," 24.3","  31.8"," 40.5"," 51.4"," 67.3","100.0"
"Offshore circalittoral coarse sediment",10.55,31.49,"   4.1","  8.7"," 14.2","  20.9"," 28.9","  37.6"," 47.3"," 58.9"," 73.2","100.0"
"Circalittoral sand",9.95,35.14,"   0.2","  2.4","  7.1","  13.4"," 20.4","  29.8"," 40.2"," 53.7"," 71.7","100.0"
"Circalittoral coarse sediment",7.95,51.26,"   0.3","  2.4","  6.6","  13.6"," 21.8","  30.9"," 41.2"," 53.8"," 70.7","100.0"
"Circalittoral rock and biogenic reef",2.83,3.67,"<0.1","  0.7","  1.9","   4.4","  6.9","  12.3"," 20.7"," 36.1"," 55.9","100.0"
"Circalittoral mud",2.46,5.37,"<0.1","  0.3","  1.3","   3.5","  7.9","  14.0"," 24.3"," 39.4"," 59.0","100.0"
"Offshore circalittoral rock and biogenic reef",2.16,6.96,"   6.1"," 12.6"," 19.5","  27.4"," 35.5","  46.5"," 55.4"," 69.1"," 82.7","100.0"
"Offshore circalittoral mixed sediment",2,18.35,"   3.9","  9.0"," 15.3","  22.6"," 30.3","  40.8"," 53.0"," 67.0"," 83.2","100.0"
"Upper bathyal sediment",1.01,1.57,"   1.6","  5.8","  8.8","  14.0"," 22.3","  34.7"," 46.9"," 58.1"," 74.8","100.0"
"Infralittoral rock and biogenic reef",0.77,0.13,"   0.0","  0.0","  0.0","<0.1","  0.3","   1.9","  4.0"," 11.1"," 24.7","100.0"
"Infralittoral sand",0.59,0.3,"   0.0","  0.0","  0.0","<0.1","  0.2","   0.6","  2.1","  5.4"," 23.8","100.0"
"Infralittoral coarse sediment",0.32,0.02,"   0.0","  0.0","  0.0","   0.0","  1.0","   5.4"," 16.3"," 27.6"," 57.5","100.0"
"Infralittoral mud",0.31,0.07,"   0.0","  0.0","  0.0","   0.0","  0.0","<0.1","  1.0","  1.7","  3.6","100.0"
"Circalittoral mixed sediment",0.21,1.05,"   1.1","  5.5"," 11.7","  20.2"," 29.7","  38.4"," 48.9"," 66.0"," 90.0","100.0"
"Unknown",0.1,0.05,"<0.1","  1.1","  4.1","  15.7"," 22.0","  29.3"," 37.8"," 47.6"," 77.6","100.0"
"Infralittoral mixed sediment",0.04,0,"   0.0","  0.0","  0.0","   0.0","  0.0","   0.0","  0.0","  0.3"," 24.0","100.0"
"Upper bathyal rock and biogenic reef",0,0.01," 100.0","100.0","100.0"," 100.0","100.0"," 100.0","100.0","100.0","100.0","100.0"
