"MSFD broad habitat type","Extent of habitat 1000 km2","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Total",82.92,"   1.7","   5.0","   9.5","  15.6","  22.5","  30.5","  39.5","  51.2","  68.3"," 101.1"
"Offshore circalittoral sand",24.56,"   0.3","   0.9","   1.7","   2.6","   3.7","   4.8","   6.1","   7.4","   9.3","  12.5"
"Offshore circalittoral mud",17.1,"   0.5","   1.3","   2.4","   3.8","   5.3","   7.1","   9.3","  12.3","  18.4","  31.1"
"Offshore circalittoral coarse sediment",10.55,"   0.3","   0.7","   1.2","   1.7","   2.3","   3.0","   3.8","   4.6","   5.8","   8.0"
"Circalittoral sand",9.95,"<0.1","   0.4","   1.0","   1.9","   2.9","   4.2","   5.5","   7.1","   9.4","  13.0"
"Circalittoral coarse sediment",7.95,"<0.1","   0.6","   1.4","   2.7","   4.2","   5.7","   7.4","   9.8","  12.7","  20.0"
"Circalittoral rock and biogenic reef",2.83,"<0.1","<0.1","<0.1","<0.1","   0.1","   0.2","   0.4","   0.7","   1.1","   1.8"
"Circalittoral mud",2.46,"<0.1","<0.1","<0.1","<0.1","   0.2","   0.3","   0.6","   0.9","   1.3","   2.1"
"Offshore circalittoral rock and biogenic reef",2.16,"   0.2","   0.3","   0.5","   0.7","   1.0","   1.3","   1.4","   1.8","   2.1","   2.4"
"Offshore circalittoral mixed sediment",2,"   0.3","   0.6","   1.2","   1.8","   2.6","   3.5","   4.7","   6.2","   7.7","   9.2"
"Upper bathyal sediment",1.01,"<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.1","   0.2","   0.2","   0.3"
"Infralittoral rock and biogenic reef",0.77,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Infralittoral sand",0.59,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.2"
"Infralittoral coarse sediment",0.32,"   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Infralittoral mud",0.31,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1"
"Circalittoral mixed sediment",0.21,"<0.1","<0.1","<0.1","<0.1","   0.1","   0.1","   0.2","   0.2","   0.3","   0.3"
"Unknown",0.1,"   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Infralittoral mixed sediment",0.04,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",0.01,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Upper bathyal rock and biogenic reef",0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
