"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Circalittoral mud",3.98,24.9,0,0,0,0,0,NA,100
"Offshore circalittoral mud",3.29,20.6,0,0,0,0,0,NA,100
"Circalittoral mud or Circalittoral sand",3.26,20.4,0,0,0,0,0,NA,100
"Circalittoral mixed sediment",3.23,20.2,0,0,0,0,0,NA,100
"Circalittoral rock and biogenic reef",0.62,3.9,0,0,0,0,0,NA,100
"Infralittoral mixed sediment",0.38,2.4,0,0,0,0,0,NA,100
"Offshore circalittoral mud or Offshore circalittoral sand",0.31,2,0,0,0,0,0,NA,100
"Infralittoral rock and biogenic reef",0.21,1.3,0,0,0,0,0,NA,100
"Offshore circalittoral mixed sediment",0.16,1,0,0,0,0,0,NA,100
"Infralittoral mud",0.13,0.8,0,0,0,0,0,NA,100
"Circalittoral coarse sediment",0.11,0.7,0,0,0,0,0,NA,100
"Circalittoral sand",0.1,0.6,0,0,0,0,0,NA,100
"Infralittoral mud or Infralittoral sand",0.08,0.5,0,0,0,0,0,NA,100
"Infralittoral coarse sediment",0.06,0.3,0,0,0,0,0,NA,100
"Infralittoral sand",0.05,0.3,0,0,0,0,0,NA,100
"Offshore circalittoral rock and biogenic reef",0.02,0.1,0,0,0,0,0,NA,100
"Offshore circalittoral sand",0,0,0,0,0,0,0,NA,100
"Offshore circalittoral coarse sediment",0,0,0,0,0,0,0,NA,100
