"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Upper bathyal sediment",15.27,37.3,19.82,0.68,34.99,2.29,57,39.2,10.4
"Offshore circalittoral sand",7.58,18.5,7.58,0.04,20.18,2.66,82,64.2,3.3
"Offshore circalittoral mud",4.39,10.7,6.15,0.06,15.31,3.49,94,78.1,1.1
"Offshore circalittoral rock and biogenic reef",2.89,7.1,1.63,0,3.41,1.18,58,54.5,14.9
"Circalittoral rock and biogenic reef",2.28,5.6,0.29,0,0.47,0.21,12,15.3,64.8
"Circalittoral sand",1.55,3.8,0.34,0,0.5,0.33,16,15.4,64.8
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",1.46,3.6,0.15,0.02,0.25,0.17,14,19.9,42.8
"Offshore circalittoral coarse sediment",1.24,3,0.91,0.01,1.75,1.4,70,64.4,7.3
"Upper bathyal rock and biogenic reef",0.86,2.1,0.88,0,1.43,1.66,50,42,28.9
"Offshore circalittoral mixed sediment",0.66,1.6,0.74,0.01,2.12,3.21,92,75.9,4.3
"Infralittoral rock and biogenic reef",0.53,1.3,0.01,0,0.02,0.03,3,6.1,84.9
"Lower bathyal sediment",0.5,1.2,0.03,0,0.05,0.1,7,26.7,28.2
"Circalittoral coarse sediment",0.49,1.2,0.1,0,0.15,0.31,17,22.3,50.8
"Circalittoral mud",0.31,0.7,0.02,0,0.04,0.15,9,11.4,68.6
"Infralittoral sand",0.27,0.7,0,0,0,0.02,2,7.5,88.1
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.24,0.6,0.01,0,0.01,0.04,4,43.4,48
"Circalittoral mixed sediment",0.12,0.3,0.01,0,0.01,0.09,5,9.3,69
"Infralittoral mud",0.08,0.2,0,0,0,0,0,3.8,94.2
"Infralittoral mixed sediment",0.07,0.2,0,0,0,0,0,4.7,88.8
"Unknown",0.06,0.1,0.12,0.03,0.08,1.49,84,49.2,13.1
"Lower bathyal rock and biogenic reef",0.04,0.1,0,0,0,0.04,4,64.9,30.5
"Infralittoral coarse sediment",0.03,0.1,0,0,0.01,0.19,8,5.3,78.4
"Abyssal",0.01,0,0,0,0,0.01,1,NA,0
