"MSFD broad habitat type","Extent of habitat 1000 km2","Swept area (x1000 km^2^)","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Upper bathyal sediment",15.27,34.99,"0.0","<0.1","   0.5","  1.7","  4.3","  9.4"," 19.2","  36.8"," 60.5","100.0"
"Offshore circalittoral sand",7.58,20.18,"0.3","   2.2","   6.7"," 13.1"," 20.6"," 30.7"," 43.6","  57.9"," 76.6","100.0"
"Offshore circalittoral mud",4.39,15.31,"2.0","   8.9","  17.0"," 26.7"," 36.2"," 45.1"," 55.4","  67.4"," 82.3","100.0"
"Offshore circalittoral rock and biogenic reef",2.89,3.41,"0.0","   0.2","   2.1","  6.8"," 13.8"," 22.3"," 35.6","  51.3"," 73.6","100.0"
"Circalittoral rock and biogenic reef",2.28,0.47,"0.0","   0.0","   0.0","  0.0","  0.0","  0.0","  0.4","   4.3"," 22.2","100.0"
"Circalittoral sand",1.55,0.5,"0.0","   0.0","   0.0","  0.0","  0.0","  0.0","  0.5","   5.2"," 23.4","100.0"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",1.46,0.25,"0.0","   0.0","   0.0","  0.0","  0.2","  1.5","  4.4","  10.1"," 32.8","100.0"
"Offshore circalittoral coarse sediment",1.24,1.75,"0.1","   1.7","   6.5"," 13.9"," 22.2"," 33.5"," 43.4","  58.1"," 74.6","100.0"
"Upper bathyal rock and biogenic reef",0.86,1.43,"0.0","   0.0","<0.1","  0.5","  2.9"," 12.0"," 29.5","  47.6"," 68.1","100.0"
"Offshore circalittoral mixed sediment",0.66,2.12,"2.5","   7.8","  15.1"," 24.5"," 34.1"," 48.7"," 58.7","  67.9"," 81.1","100.0"
"Infralittoral rock and biogenic reef",0.53,0.02,"0.0","   0.0","   0.0","  0.0","  0.0","  0.0","  0.0","   0.0","  1.8","100.0"
"Lower bathyal sediment",0.5,0.05,"0.0","   0.0","<0.1","  1.5","  1.9","  3.6","  9.6","  17.6"," 40.3","100.0"
"Circalittoral coarse sediment",0.49,0.15,"0.0","   0.0","   0.0","  0.0","  0.0","  0.7","  3.5","  11.1"," 29.8","100.0"
"Circalittoral mud",0.31,0.04,"0.0","   0.0","   0.0","  0.0","  0.0","  0.0","  0.3","   2.3"," 13.8","100.0"
"Infralittoral sand",0.27,0,"0.0","   0.0","   0.0","  0.0","  0.0","  0.0","  0.0","   0.0","  2.1","100.0"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.24,0.01,"0.0","   0.0","   0.0","  0.0","  0.5"," 12.1"," 23.7","  36.8"," 51.3","100.0"
"Circalittoral mixed sediment",0.12,0.01,"0.0","   0.0","   0.0","  0.0","  0.0","  0.0","  0.9","   4.8"," 10.7","100.0"
"Infralittoral mud",0.08,0,"0.0","   0.0","   0.0","  0.0","  0.0","  0.0","  0.0","   0.0","  0.0","100.0"
"Infralittoral mixed sediment",0.07,0,"0.0","   0.0","   0.0","  0.0","  0.0","  0.0","  0.0","   0.0"," 30.8","100.0"
"Unknown",0.06,0.08,"0.0","  32.9","  32.9"," 32.9"," 32.9"," 64.6"," 64.6"," 100.0","100.0","100.0"
"Lower bathyal rock and biogenic reef",0.04,0,"0.0","   0.0","   0.0"," 40.1"," 40.1"," 65.0","100.0"," 100.0","100.0","100.0"
"Infralittoral coarse sediment",0.03,0.01,"0.0","   0.0","   0.0","  0.0","  0.0","  0.0","  0.0","<0.1","  1.7","100.0"
"Abyssal",0.01,0,"4.5"," 100.0"," 100.0","100.0","100.0","100.0","100.0"," 100.0","100.0","100.0"
