"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Upper bathyal sediment",43.39,36.4,13.68,43.77,87.86,2.03,61,43,16.3
"Unknown",23.75,19.9,0.93,2.75,7.06,0.3,16,15.9,36.4
"Offshore circalittoral coarse sediment",18.43,15.4,0.76,1.99,1.19,0.06,5,19.1,43.4
"Offshore circalittoral sand",7.53,6.3,1.37,3.37,3.53,0.47,31,38,14.2
"Offshore circalittoral mud",6.98,5.8,3.42,13.31,20.15,2.89,61,40.5,7.8
"Circalittoral coarse sediment",4.34,3.6,0.13,0.27,0.16,0.04,3,20,54.2
"Offshore circalittoral mixed sediment",4,3.4,0.05,0.11,0.14,0.04,4,35.4,35.1
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",3.34,2.8,0.59,2.07,3.78,1.13,34,24.7,27.2
"Offshore circalittoral rock and biogenic reef",2.14,1.8,0.08,0.21,0.15,0.07,5,30.7,35.9
"Circalittoral sand",2.08,1.7,0.13,0.28,0.28,0.13,12,30.6,30.8
"Circalittoral rock and biogenic reef",2.08,1.7,0.11,0.29,0.21,0.1,9,24.4,46.9
"Circalittoral mud",0.66,0.6,0.02,0.07,0.09,0.14,13,49,13.7
"Infralittoral sand",0.14,0.1,0.01,0.02,0,0.02,2,40.3,27
"Infralittoral rock and biogenic reef",0.12,0.1,0,0.01,0.01,0.08,8,26.8,35.1
"Infralittoral coarse sediment",0.1,0.1,0,0.01,0,0.04,4,42.2,30.5
"Circalittoral mixed sediment",0.09,0.1,0.01,0.01,0.01,0.07,7,27,41.3
"Infralittoral mud",0.09,0.1,0,0.01,0,0.02,2,26.4,43.6
"Infralittoral mixed sediment",0.03,0,0,0,0,0.01,1,NA,82.4
"Lower bathyal sediment",0.01,0,0,0,0,0.33,33,NA,43.8
"Upper bathyal rock and biogenic reef",0,0,0,0,0,0.05,5,NA,60.1
