"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Offshore circalittoral mud or Offshore circalittoral sand",28.01,21.5,0.59,0.49,1.28,0.05,4,7.7,79.7
"Circalittoral mixed sediment",26.93,20.6,1.92,0.42,0.65,0.02,2,3.2,87.4
"Circalittoral mud or Circalittoral sand",14.74,11.3,0.54,0.14,0.51,0.03,3,13.3,72.3
"Offshore circalittoral mixed sediment",14.57,11.2,1.37,1.46,4.87,0.33,17,15,69.1
"Circalittoral sand",9.2,7,0.57,0.35,1.29,0.14,8,12.7,55.6
"Circalittoral mud",8.76,6.7,0.49,0.27,0.89,0.1,8,12.8,75.6
"Offshore circalittoral mud",8.44,6.5,0.86,0.97,2.81,0.33,22,23.8,62.9
"Infralittoral mixed sediment",5.28,4,0.01,0,0,0,0,0.5,98.9
"Circalittoral coarse sediment",4.8,3.7,0.21,0.04,0.09,0.02,2,4.9,83
"Circalittoral rock and biogenic reef",4.02,3.1,0.01,0,0.01,0,0,1.5,97.1
"Infralittoral coarse sediment",1.75,1.3,0.03,0.01,0.01,0,0,1.6,95.3
"Infralittoral rock and biogenic reef",1.26,1,0,0,0,0,0,0.1,99.9
"Infralittoral sand",1.05,0.8,0,0,0.01,0.01,1,9.3,83.4
"Offshore circalittoral coarse sediment",0.55,0.4,0.01,0,0,0,0,8.8,89.3
"Infralittoral mud or Infralittoral sand",0.38,0.3,0,0,0,0,0,2.3,96.2
"Offshore circalittoral sand",0.37,0.3,0.17,0.19,0.61,1.66,70,59.4,14.3
"Infralittoral mud",0.3,0.2,0,0,0,0,0,1.2,97.4
"Offshore circalittoral rock and biogenic reef",0.14,0.1,0,0,0,0,0,0.1,99.5
