"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Offshore circalittoral mud",8.72,23.7,0.35,0,3.44,0.39,18,17.2,58.4
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",6.93,18.8,0.35,0,3.54,0.51,24,21.9,40.6
"Upper bathyal sediment",6.04,16.4,0.58,0,5.07,0.84,32,25.3,35.6
"Circalittoral sand",2.95,8,0,0,0.02,0.01,1,2.3,95.1
"Circalittoral mixed sediment",2.49,6.8,0,0,0.02,0.01,1,2.7,90.9
"Offshore circalittoral sand",2.26,6.1,0.18,0,1.09,0.48,33,33.4,46.3
"Offshore circalittoral rock and biogenic reef",1.95,5.3,0.04,0,0.33,0.17,15,30.8,42.7
"Circalittoral mud",1.77,4.8,0,0,0.02,0.01,1,1,93.9
"Circalittoral rock and biogenic reef",1.64,4.4,0,0,0.02,0.01,1,3.2,93.5
"Offshore circalittoral mixed sediment",0.64,1.7,0.02,0,0.22,0.34,8,6.7,70.5
"Infralittoral sand",0.62,1.7,0,0,0,0,0,0,99.9
"Upper bathyal rock and biogenic reef",0.24,0.7,0,0,0.03,0.1,9,19.8,67.6
"Infralittoral rock and biogenic reef",0.21,0.6,0,0,0,0,0,0,99.8
"Unknown",0.15,0.4,0,0,0.01,0.06,5,4.9,94
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.1,0.3,0,0,0.01,0.12,12,27.7,32
"Infralittoral mixed sediment",0.06,0.2,0,0,0,0,0,0,97.5
"Offshore circalittoral coarse sediment",0.05,0.1,0,0,0,0.09,9,5.3,87.2
"Infralittoral mud",0.05,0.1,0,0,0,0,0,0,97.6
"Abyssal",0,0,0,0,0,0,0,NA,58.3
"Circalittoral coarse sediment",0,0,0,0,0,0,0,NA,100
"Lower bathyal sediment",0,0,0,0,0,0,0,NA,100
