"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Offshore circalittoral sand",47.89,32.1,11.13,32.04,101.43,2.12,86,69.6,0
"Offshore circalittoral coarse sediment",33.56,22.5,10.2,33.41,91.02,2.71,81,58.7,0.1
"Offshore circalittoral mud",25.01,16.8,7.45,21.91,61.48,2.46,93,72.8,0
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",15.8,10.6,3.74,8.72,25.49,1.61,46,33.1,21.7
"Upper bathyal sediment",11.32,7.6,4.75,17.72,39.97,3.53,80,60.3,4.9
"Unknown",5.82,3.9,1.31,3.47,10.1,1.73,87,74,1.2
"Circalittoral coarse sediment",3.13,2.1,1.89,4.58,3.07,0.98,30,23.7,1.8
"Circalittoral rock and biogenic reef",1.78,1.2,0.12,0.41,0.63,0.35,20,37.6,6.7
"Offshore circalittoral rock and biogenic reef",1.49,1,0.18,0.81,0.93,0.62,38,60.6,1.4
"Circalittoral sand",0.9,0.6,0.32,1.06,1.46,1.62,36,24.5,4.4
"Infralittoral rock and biogenic reef",0.63,0.4,0.2,0.34,0.08,0.13,8,21.4,16.9
"Infralittoral sand",0.49,0.3,0.73,1.82,1.11,2.26,68,49.1,3.8
"Circalittoral mud",0.49,0.3,0.05,0.21,0.46,0.94,43,36.5,6.1
"Infralittoral coarse sediment",0.43,0.3,0.68,1.54,0.44,1.04,35,29.2,8.1
"Offshore circalittoral mixed sediment",0.11,0.1,0.03,0.12,0.16,1.57,85,72.5,0
"Infralittoral mud",0.07,0,0.01,0.03,0.01,0.11,8,10.9,23.9
"Infralittoral mixed sediment",0.05,0,0.03,0.18,0.01,0.11,11,NA,1.7
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.02,0,0,0,0,0.2,18,NA,15.7
"Upper bathyal rock and biogenic reef",0.01,0,0,0,0,0.17,17,NA,0
"Lower bathyal sediment",0,0,0,0,0,0.09,9,NA,0
"Circalittoral mixed sediment",0,0,0,0,0,0.24,24,NA,18.5
