"MSFD broad habitat type","Extent of habitat 1000 km2","Swept area (x1000 km^2^)","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Offshore circalittoral sand",47.89,101.43,"   1.4","   4.9","  9.8"," 15.7"," 22.9"," 31.4"," 41.7"," 54.0"," 70.1","100.0"
"Offshore circalittoral coarse sediment",33.56,91.02,"   0.6","   2.4","  5.2","  9.4"," 15.4"," 24.0"," 35.9"," 51.0"," 70.6","100.0"
"Offshore circalittoral mud",25.01,61.48,"   2.9","   6.9"," 11.4"," 16.8"," 23.4"," 31.9"," 42.1"," 54.5"," 71.4","100.0"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",15.8,25.49,"   0.0","<0.1","  0.1","  0.6","  2.8","  8.5"," 20.3"," 38.9"," 64.7","100.0"
"Upper bathyal sediment",11.32,39.97,"   0.1","   1.5","  5.8"," 12.1"," 20.3"," 31.2"," 43.4"," 57.9"," 75.2","100.0"
"Unknown",5.82,10.1,"   1.4","   6.6"," 13.0"," 21.1"," 31.0"," 41.7"," 52.8"," 64.4"," 79.0","100.0"
"Circalittoral coarse sediment",3.13,3.07,"   0.1","   0.5","  1.0","  1.6","  3.0","  4.9","  7.2"," 13.8"," 28.8","100.0"
"Circalittoral rock and biogenic reef",1.78,0.63,"<0.1","   0.4","  1.2","  3.1","  5.9","  9.7"," 15.0"," 23.2"," 38.7","100.0"
"Offshore circalittoral rock and biogenic reef",1.49,0.93,"   0.8","   2.8","  6.3"," 10.6"," 15.6"," 21.7"," 27.4"," 37.1"," 53.7","100.0"
"Circalittoral sand",0.9,1.46,"<0.1","   0.3","  0.8","  1.9","  2.8","  4.2","  8.1"," 18.2"," 44.4","100.0"
"Infralittoral rock and biogenic reef",0.63,0.08,"   0.0","<0.1","  0.2","  0.6","  1.1","  2.8","  5.3"," 10.8"," 25.7","100.0"
"Infralittoral sand",0.49,1.11,"<0.1","   0.4","  4.1","  8.6"," 14.3"," 28.0"," 39.3"," 54.7"," 67.0","100.0"
"Circalittoral mud",0.49,0.46,"<0.1","   0.4","  1.3","  3.2","  6.6"," 11.8"," 20.5"," 33.5"," 53.2","100.0"
"Infralittoral coarse sediment",0.43,0.44,"<0.1","   0.1","  0.4","  1.3","  2.6","  6.7"," 12.4"," 26.7"," 47.0","100.0"
"Offshore circalittoral mixed sediment",0.11,0.16,"   3.4","  12.5"," 21.8"," 31.8"," 44.9"," 53.4"," 63.8"," 63.8","100.0","100.0"
"Infralittoral mud",0.07,0.01,"   0.0","   0.0","  0.0","  0.3","  1.5","  1.5","  1.9","  1.9"," 15.2","100.0"
"Infralittoral mixed sediment",0.05,0.01,"   0.0"," 100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.02,0,"   0.9","   4.8"," 15.2"," 28.4"," 69.4"," 69.4"," 69.4"," 69.4","100.0","100.0"
"Upper bathyal rock and biogenic reef",0.01,0,"   1.3","   1.3","  4.7","  4.7","  6.6"," 25.4"," 25.4"," 36.1","100.0","100.0"
"Lower bathyal sediment",0,0,"  42.8","  42.8"," 42.8"," 42.8","100.0","100.0","100.0","100.0","100.0","100.0"
"Circalittoral mixed sediment",0,0,"   0.0","   0.0","  0.0","  2.7"," 11.1"," 54.4"," 54.4","100.0","100.0","100.0"
