"MSFD broad habitat type","Extent of habitat 1000 km2","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Total",149,"   3.0","   8.5","  15.0","  22.9","  31.7","  42.6","  55.9","  73.1","  94.6"," 127.7"
"Offshore circalittoral sand",47.89,"   1.4","   3.5","   5.4","   7.5","   9.9","  12.7","  15.8","  19.8","  24.6","  32.0"
"Offshore circalittoral coarse sediment",33.56,"   0.7","   2.5","   4.7","   6.5","   9.1","  12.2","  16.0","  20.5","  26.0","  33.4"
"Offshore circalittoral mud",25.01,"   0.7","   2.0","   3.3","   5.7","   6.9","   8.5","  10.6","  13.0","  16.2","  21.9"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",15.8,"   0.0","<0.1","<0.1","<0.1","   0.3","   0.8","   2.0","   3.6","   5.8","   8.7"
"Upper bathyal sediment",11.32,"<0.1","   0.3","   0.9","   2.0","   3.5","   5.4","   7.6","  10.6","  14.0","  17.7"
"Unknown",5.82,"<0.1","   0.2","   0.4","   0.7","   1.0","   1.4","   1.7","   2.1","   2.6","   3.5"
"Circalittoral coarse sediment",3.13,"<0.1","<0.1","<0.1","<0.1","   0.2","   0.4","   0.6","   1.0","   1.7","   4.6"
"Circalittoral rock and biogenic reef",1.78,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.1","   0.2","   0.4"
"Offshore circalittoral rock and biogenic reef",1.49,"<0.1","<0.1","<0.1","<0.1","   0.1","   0.2","   0.2","   0.4","   0.5","   0.8"
"Circalittoral sand",0.9,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.3","   0.5","   1.0"
"Infralittoral rock and biogenic reef",0.63,"   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.3"
"Infralittoral sand",0.49,"<0.1","<0.1","   0.1","   0.2","   0.3","   0.5","   0.6","   1.0","   1.2","   1.6"
"Circalittoral mud",0.49,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.2"
"Infralittoral coarse sediment",0.43,"<0.1","<0.1","<0.1","<0.1","<0.1","   0.2","   0.3","   0.6","   0.9","   1.5"
"Offshore circalittoral mixed sediment",0.11,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Infralittoral mud",0.07,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Infralittoral mixed sediment",0.05,"   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.02,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Upper bathyal rock and biogenic reef",0.01,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Lower bathyal sediment",0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Circalittoral mixed sediment",0,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
