"MSFD broad habitat type","Extent of habitat 1000 km2","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Total",149,"   0.9","   2.5","   4.4","   6.8","   9.7","  13.5","  18.0","  23.7","  30.8","  42.5"
"Offshore circalittoral sand",47.89,"   0.4","   1.0","   1.7","   2.5","   3.5","   4.5","   5.7","   7.1","   8.7","  11.1"
"Offshore circalittoral coarse sediment",33.56,"   0.2","   0.6","   1.1","   1.6","   2.4","   3.3","   4.6","   6.0","   7.8","  10.2"
"Offshore circalittoral mud",25.01,"   0.3","   0.6","   1.1","   1.6","   2.1","   2.7","   3.5","   4.4","   5.6","   7.4"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",15.8,"   0.0","<0.1","<0.1","<0.1","<0.1","   0.3","   0.7","   1.4","   2.4","   3.7"
"Upper bathyal sediment",11.32,"<0.1","<0.1","   0.3","   0.5","   0.9","   1.4","   1.9","   2.5","   3.2","   4.7"
"Unknown",5.82,"<0.1","<0.1","   0.2","   0.3","   0.4","   0.6","   0.7","   0.9","   1.0","   1.3"
"Circalittoral coarse sediment",3.13,"<0.1","<0.1","<0.1","<0.1","<0.1","   0.2","   0.3","   0.4","   0.7","   1.9"
"Circalittoral rock and biogenic reef",1.78,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1"
"Offshore circalittoral rock and biogenic reef",1.49,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.2"
"Circalittoral sand",0.9,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.2","   0.3"
"Infralittoral rock and biogenic reef",0.63,"   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1"
"Infralittoral sand",0.49,"<0.1","<0.1","<0.1","<0.1","   0.1","   0.2","   0.3","   0.4","   0.5","   0.6"
"Circalittoral mud",0.49,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Infralittoral coarse sediment",0.43,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.2","   0.4","   0.7"
"Offshore circalittoral mixed sediment",0.11,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Infralittoral mud",0.07,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Infralittoral mixed sediment",0.05,"   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",0.02,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Upper bathyal rock and biogenic reef",0.01,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Lower bathyal sediment",0,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Circalittoral mixed sediment",0,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
