"MSFD broad habitat type","Extent of habitat (x1000 km^2^)","Relative habitat abundance (%)","Landings (x1000 tonnes)","Value (x10^6^ euro)","Swept area (x1000 km^2^)","Average fishing intensity (I-1)","Average annual extent fished (%)","Smallest proportion of extent with 90% of fishing effort","Percentage extent unfished (%)"
"Circalittoral sand",51.22,36.8,67.15,114.97,87.33,1.7,70,55.9,1.8
"Offshore circalittoral sand",42.53,30.5,32.12,62.05,61.11,1.44,77,70.9,0.2
"Offshore circalittoral mud",24.24,17.4,23.89,41.65,56.17,2.32,89,69.1,0.1
"Circalittoral coarse sediment",6.92,5,9.97,10.37,8.66,1.25,58,56.7,1.3
"Offshore circalittoral coarse sediment",3.52,2.5,4.94,11.44,15.65,4.45,83,55.3,0.5
"Infralittoral sand",3.37,2.4,11.64,23.34,8.26,2.45,71,56.2,7.8
"Circalittoral mud",2.88,2.1,10.04,10.3,4.95,1.72,66,64,2.3
"Circalittoral mixed sediment",2.48,1.8,3.72,3.46,2.66,1.07,52,52.8,1.6
"Unknown",0.85,0.6,1.45,3.63,3.28,3.85,91,66.2,0.1
"Infralittoral mud",0.6,0.4,6.23,3.08,0.21,0.36,18,33,31.4
"Offshore circalittoral mixed sediment",0.42,0.3,0.45,0.83,0.64,1.53,70,69.1,0.8
"Infralittoral coarse sediment",0.11,0.1,0.69,0.71,0.28,2.54,78,61.3,0.2
"Infralittoral mixed sediment",0.06,0,0.55,0.21,0.02,0.4,14,16.4,14.7
"Offshore circalittoral rock and biogenic reef",0.04,0,0,0.01,0.01,0.18,8,10.3,31.1
"Circalittoral rock and biogenic reef",0.04,0,0,0.01,0.01,0.28,16,12.8,34.4
"Infralittoral rock and biogenic reef",0,0,0,0,0,0.04,4,NA,1.2
