"MSFD broad habitat type","Extent of habitat 1000 km2","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Total",139.28,"   5.4","  15.9","  28.4","  43.8","  60.7","  82.4"," 108.2"," 141.1"," 188.6"," 277.1"
"Circalittoral sand",51.22,"   0.5","   3.0","   6.8","  11.1","  16.9","  24.6","  33.3","  45.2","  65.5"," 112.9"
"Offshore circalittoral sand",42.53,"   1.9","   4.8","   7.7","  10.6","  14.2","  19.0","  25.5","  34.8","  46.7","  62.0"
"Offshore circalittoral mud",24.24,"   1.7","   3.9","   6.3","   9.0","  12.5","  16.2","  20.5","  25.6","  31.9","  41.6"
"Circalittoral coarse sediment",6.92,"<0.1","   0.4","   0.6","   1.4","   2.2","   2.9","   4.1","   5.4","   6.8","  10.2"
"Offshore circalittoral coarse sediment",3.52,"   0.1","   0.5","   0.9","   1.5","   2.2","   3.0","   4.0","   5.3","   7.0","  11.4"
"Infralittoral sand",3.37,"   0.5","   2.3","   3.5","   6.7","   8.4","  10.7","  12.8","  14.9","  17.7","  21.6"
"Circalittoral mud",2.88,"   0.4","   0.7","   1.1","   1.5","   1.9","   2.4","   3.1","   3.8","   5.5","   7.9"
"Circalittoral mixed sediment",2.48,"<0.1","<0.1","   0.1","   0.2","   0.4","   0.7","   1.1","   1.6","   2.2","   3.3"
"Unknown",0.85,"   0.1","   0.2","   0.9","   1.0","   1.1","   1.7","   2.4","   2.7","   3.3","   3.6"
"Infralittoral mud",0.6,"   0.0","   0.0","<0.1","   0.1","   0.2","   0.3","   0.5","   0.6","   0.8","   0.9"
"Offshore circalittoral mixed sediment",0.42,"<0.1","<0.1","   0.1","   0.1","   0.2","   0.3","   0.4","   0.5","   0.6","   0.8"
"Infralittoral coarse sediment",0.11,"<0.1","   0.1","   0.4","   0.4","   0.5","   0.5","   0.6","   0.6","   0.6","   0.7"
"Infralittoral mixed sediment",0.06,"   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Offshore circalittoral rock and biogenic reef",0.04,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Circalittoral rock and biogenic reef",0.04,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
