"MSFD broad habitat type","Extent of habitat 1000 km2","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Total",139.28,"   4.7","  12.4","  21.0","  30.3","  39.5","  50.9","  63.9","  79.6"," 103.2"," 156.0"
"Circalittoral sand",51.22,"   0.3","   1.6","   4.0","   5.8","   8.6","  12.8","  17.7","  24.8","  37.4","  66.4"
"Offshore circalittoral sand",42.53,"   1.7","   4.0","   6.1","   8.1","  10.5","  13.5","  16.4","  19.7","  23.3","  32.1"
"Offshore circalittoral mud",24.24,"   2.0","   4.5","   6.8","   9.0","  11.0","  12.8","  15.1","  17.4","  19.9","  23.9"
"Circalittoral coarse sediment",6.92,"<0.1","   0.2","   0.4","   1.0","   1.4","   1.8","   2.6","   3.4","   5.0","   9.9"
"Offshore circalittoral coarse sediment",3.52,"<0.1","   0.3","   0.5","   0.8","   1.2","   1.6","   2.2","   2.9","   3.6","   4.9"
"Infralittoral sand",3.37,"   0.2","   0.9","   1.4","   3.2","   3.8","   4.5","   5.2","   5.9","   6.8","   8.7"
"Circalittoral mud",2.88,"   0.2","   0.5","   0.8","   1.2","   1.5","   1.7","   2.0","   2.3","   3.0","   3.6"
"Circalittoral mixed sediment",2.48,"<0.1","<0.1","   0.1","   0.2","   0.4","   0.6","   0.8","   1.2","   1.6","   3.5"
"Unknown",0.85,"<0.1","   0.1","   0.5","   0.6","   0.7","   0.9","   1.1","   1.2","   1.3","   1.4"
"Infralittoral mud",0.6,"   0.0","   0.0","<0.1","<0.1","<0.1","   0.1","   0.2","   0.2","   0.3","   0.3"
"Offshore circalittoral mixed sediment",0.42,"<0.1","<0.1","   0.1","   0.1","   0.2","   0.2","   0.3","   0.3","   0.4","   0.4"
"Infralittoral coarse sediment",0.11,"<0.1","<0.1","   0.2","   0.2","   0.2","   0.4","   0.4","   0.5","   0.5","   0.7"
"Infralittoral mixed sediment",0.06,"   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Offshore circalittoral rock and biogenic reef",0.04,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Circalittoral rock and biogenic reef",0.04,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
