"MSFD broad habitat type","Extent of habitat 1000 km2","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1"
"Total",16.96,"<0.1","<0.1","<0.1","   0.2","   0.3","   0.7","   1.3","   2.4","   3.6","   5.9"
"Infralittoral sand",7.2,"   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","   0.2","   0.6","   0.9","   1.5"
"Infralittoral mixed sediment",2.8,"   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","   0.2","   0.4"
"Circalittoral sand",2.16,"   0.0","   0.0","<0.1","<0.1","<0.1","   0.1","   0.2","   0.4","   0.7","   1.4"
"Circalittoral mud",1.91,"<0.1","<0.1","<0.1","   0.1","   0.2","   0.4","   0.7","   1.0","   1.3","   1.9"
"Infralittoral coarse sediment",0.98,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1"
"Infralittoral mud",0.91,"   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","   0.2"
"Circalittoral mixed sediment",0.44,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1"
"Offshore circalittoral mud",0.2,"<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","   0.1","   0.1","   0.2"
"Offshore circalittoral sand",0.18,"   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Circalittoral coarse sediment",0.11,"   0.0","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1","<0.1"
"Offshore circalittoral mixed sediment",0.05,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1"
"Infralittoral rock and biogenic reef",0.03,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","<0.1"
"Offshore circalittoral coarse sediment",0,"   0.0","   0.0","   0.0","   0.0","   0.0","<0.1","<0.1","<0.1","<0.1","<0.1"
"Circalittoral rock and biogenic reef",0,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
