"depthclass","Greater North Sea","Baltic Sea","Celtic Seas","Bay of Biscay and the Iberian Coast"
"Shape",651069,389991,930940,768067
"Overall",220762.2,350929.59,492672.66,753777.95
"1. 0 - 200m",218309.76,349024.98,194772.44,130884.57
"2. 200 - 400m",1848.02,1872.28,41599.36,18721.22
"3. 400 - 800m",604.42,32.33,34649.43,24912.9
"4. >= 800m",NA,NA,221651.43,579259.26
"pct_Overall",33.9,90,52.9,98.1
"pct_DC1",98.9,99.5,39.5,17.4
"pct_DC2",0.8,0.5,8.4,2.5
"pct_DC3",0.3,0,7,3.3
"pct_DC4",NA,NA,45,76.8
