"MSFD";"BBIC_TotExt";"BBIC_Pct_MPA";"BBIC_Pct_MPAV";"GoB_TotExt";"GoB_Pct_MPA";"GoB_Pct_MPAV";"NIA_TotExt";"NIA_Pct_MPA";"NIA_Pct_MPAV";"SIA_TotExt";"SIA_Pct_MPA";"SIA_Pct_MPAV";"GoC_TotExt";"GoC_Pct_MPA";"GoC_Pct_MPAV"
"Littoral rock and biogenic reef";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Littoral sediment";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Infralittoral rock and biogenic reef";1647;48,2;40,6;768;65,3;53,8;533;35,7;32,3;205;39,5;34,8;141;15,1;9
"Infralittoral coarse sediment";450;57,6;47,5;317;65,8;52,8;30;63,3;63;NA;NA;NA;103;30,7;26,6
"Infralittoral mixed sediment";301;43,8;41,2;41;92,1;80,9;72;71,2;70,5;60;18,6;18,1;127;24,4;22,7
"Infralittoral sand";1913;42,4;28,8;586;59,1;47,6;267;38,3;35,6;619;49,4;24;442;13,1;6,6
"Infralittoral mud";556;60,3;49,3;312;81,2;65,5;77;26,8;25,1;46;32,4;28,8;122;38,1;30,6
"Infralittoral mud or Infralittoral sand";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Circalittoral rock and biogenic reef";6883;40,5;29,2;2827;40;29,2;2284;29,9;27,5;1639;58,7;33,4;133;6,4;5,6
"Circalittoral coarse sediment";8537;56,9;25;7945;58,6;24,3;492;38,2;37;0;0;0;100;15,9;15
"Circalittoral mixed sediment";2973;75,7;18,8;213;79,7;51,3;123;73,2;72,8;2490;75;9,6;146;82,5;81,9
"Circalittoral sand";16241;46,5;23,9;9954;48,8;31,5;1545;22,6;21,7;2952;73,6;8;1790;10;9,8
"Circalittoral mud";6255;57;45,2;2464;66,4;44,9;306;37,1;34,5;1768;34,3;23;1718;70,3;70,1
"Circalittoral mud or Circalittoral sand";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Offshore circalittoral rock and biogenic reef";7019;22,6;12,2;2158;14,7;4,6;2914;19,8;19,7;1947;35,4;9,5;NA;NA;NA
"Offshore circalittoral coarse sediment";11919;40,8;4,7;10549;40,9;0,6;1245;42,4;38,7;46;0;0;80;21,5;21,5
"Offshore circalittoral mixed sediment";3358;39,3;14,1;2001;31,8;0,9;663;53,1;51,5;637;44,5;11;57;81;81
"Offshore circalittoral sand";35045;45;6,7;24558;52,5;0,3;7657;28,8;27,9;2259;29,6;5,6;572;0;0
"Offshore circalittoral mud";31521;29,7;11,7;17099;24,5;2,2;4409;43,2;40,3;8735;29,6;9,8;1278;52,4;52,4
"Offshore circalittoral mud or Offshore circalittoral sand";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Upper bathyal rock and biogenic reef";1857;46,4;36,6;1;0;0;1441;48,3;37,3;282;12,8;4;133;98,2;98,2
"Upper bathyal sediment";35883;44,9;26,5;1014;77,3;10,8;23348;52,9;28,3;6681;6,5;4;4840;52,3;52,3
"Upper bathyal sediment or Upper bathyal rock and biogenic reef";21413;20,9;13,8;11;21,2;21,2;4945;35,9;6,4;16457;16,4;16;NA;NA;NA
"Lower bathyal rock and biogenic reef";494;34,7;34,3;NA;NA;NA;494;34,7;34,3;NA;NA;NA;NA;NA;NA
"Lower bathyal sediment";12066;71;17,8;NA;NA;NA;12016;71,3;17,9;50;2,2;2,2;NA;NA;NA
"Lower bathyal sediment or Lower bathyal rock and biogenic reef";35843;23;8,8;NA;NA;NA;19555;29,5;3,5;16288;15,1;15,1;NA;NA;NA
"Abyssal";508457;7,7;3,7;NA;NA;NA;303640;6,9;0,3;204817;8,8;8,8;NA;NA;NA
"Unknown";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
