"MSFD";"BS_TotExt";"BS_Pct_MPA";"BS_Pct_MPAV";"BA_TotExt";"BA_Pct_MPA";"BA_Pct_MPAV";"GoF_TotExt";"GoF_Pct_MPA";"GoF_Pct_MPAV";"GoR_TotExt";"GoR_Pct_MPA";"GoR_Pct_MPAV";"BP_TotExt";"BP_Pct_MPA";"BP_Pct_MPAV";"ABB_TotExt";"ABB_Pct_MPA";"ABB_Pct_MPAV";"WBS_TotExt";"WBS_Pct_MPA";"WBS_Pct_MPAV"
"Littoral rock and biogenic reef";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Littoral sediment";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Infralittoral rock and biogenic reef";3964;33,7;18,6;1633;25,9;10,2;268;32,7;23,4;52;27,8;2,9;1440;32,7;15,8;544;61,5;50,2;27;26,5;13,8
"Infralittoral coarse sediment";7433;51,6;40,3;489;21,5;19,3;60;39,4;22,1;618;81,3;59,5;2137;43,2;31;3112;52,2;43,9;1017;64,4;48,2
"Infralittoral mixed sediment";18696;30;22,7;5513;11,3;5,8;476;33,4;22,9;1253;83;65,9;5666;37,2;30,6;2816;27,3;23,2;2953;30,6;20,2
"Infralittoral sand";23134;55,9;42,8;844;2,6;1,7;101;46,8;21,7;733;88,5;53,1;1713;58,6;39,1;12245;62,8;50,1;7498;47;35,8
"Infralittoral mud";2279;37,1;26,7;106;12,9;7,4;187;36,8;28,2;424;78,5;67,4;383;29,2;12,9;234;26,4;19,5;945;27,2;17,6
"Infralittoral mud or Infralittoral sand";2330;52,7;45,4;612;14;7,3;145;46,2;37,1;777;98,8;93,6;736;39,3;30,4;60;29,3;15,8;NA;NA;NA
"Circalittoral rock and biogenic reef";6828;17,3;8,5;1902;18,3;9,3;679;30,1;16,7;53;46;0;4128;14,4;6,8;66;18;15;0;100;21,1
"Circalittoral coarse sediment";9941;16,8;10,8;3167;5;4,2;116;34,8;12;455;52,6;11,6;4811;18,6;11,9;1281;22,5;21;111;40,9;27,3
"Circalittoral mixed sediment";100583;12,5;10,3;56896;3,5;1,9;3363;27,9;8,2;2229;43,5;31;27106;18,8;17,3;10544;33,9;33,5;444;18,1;13,3
"Circalittoral sand";28280;17,6;11,4;6970;0,9;0,8;130;24,5;2,6;1259;60,1;3,6;9353;21,4;14,3;8377;17,2;15,6;2191;31;21,7
"Circalittoral mud";28308;13,5;7,3;3014;4,4;2,9;4092;12,2;5,7;8549;23;14,1;9056;8,8;3,5;1682;9,4;8,5;1915;13,9;4,3
"Circalittoral mud or Circalittoral sand";49884;7,1;3,2;28467;2;1,2;3425;26,1;13,3;1958;55,7;2;14786;5,5;4;1247;12,6;12,6;NA;NA;NA
"Offshore circalittoral rock and biogenic reef";162;0,1;0,1;3;0;0;15;0;0;NA;NA;NA;144;0;0;0;26,1;26,1;NA;NA;NA
"Offshore circalittoral coarse sediment";592;1,9;1,7;1;0;0;2;15,8;5,4;NA;NA;NA;557;0;0;28;29,2;29,2;4;66,3;50,8
"Offshore circalittoral mixed sediment";18297;0,4;0,4;71;0;0;162;1,8;0,8;0;0;0;14723;0;0;3287;1,9;1,9;54;20,3;17,6
"Offshore circalittoral sand";2022;10,1;7,9;4;0;0;4;0;0;NA;NA;NA;367;0;0;1460;8,4;8,4;187;43,3;20
"Offshore circalittoral mud";21326;1,9;0,9;1;0;0;3290;1,4;0,7;12;0;0;8447;0,1;0;9381;1,9;1,9;195;84,7;0,8
"Offshore circalittoral mud or Offshore circalittoral sand";29707;0;0;11;0;0;312;0;0;NA;NA;NA;28008;0;0;1376;0;0;NA;NA;NA
"Upper bathyal rock and biogenic reef";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Upper bathyal sediment";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Upper bathyal sediment or Upper bathyal rock and biogenic reef";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lower bathyal rock and biogenic reef";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lower bathyal sediment";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lower bathyal sediment or Lower bathyal rock and biogenic reef";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abyssal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Unknown";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
