"Ecoregion";"Division";"TotExt";"TOTsa";"MPAsaP";"MPAVsaP";"TOTval";"MPAvalP";"MPAVvalP";"TOTlkg";"MPAlkgP";"MPAVlkgP"
"Baltic Sea";"All combined";367275;53162;13,6;10;23;10,5;7;31;14,7;10,8
"Baltic Sea";"Bothnian area";114889;624;0;0;4;0;0;1;0;0
"Baltic Sea";"Gulf of Finland";17831;0;NA;NA;0;NA;NA;0;NA;NA
"Baltic Sea";"Gulf of Riga";19106;0;NA;NA;0;NA;NA;0;NA;NA
"Baltic Sea";"Baltic Proper";136149;13056;1,4;1,1;4;1;0,7;7;1,2;0,9
"Baltic Sea";"Arkona & Bornholm Basin";59953;28683;14,5;12,2;9;9,7;7,7;12;8,6;6,9
"Baltic Sea";"Western Baltic Sea";19264;10800;26,5;15,8;6;25,8;15,4;11;31,4;22,5
"Bay of Biscay and the Iberian Coast";"All combined";753778;471292;42,6;21,5;102;40,8;11,4;74;37,2;25,4
"Bay of Biscay and the Iberian Coast";"Gulf of Biscay";84068;300530;41,9;9,6;101;40,4;11,3;27;38,1;7,2
"Bay of Biscay and the Iberian Coast";"North-Iberian Atlantic";388827;82437;36,4;33,8;1;85;25,4;40;35,3;34,7
"Bay of Biscay and the Iberian Coast";"South-Iberian Atlantic";268679;13994;7,7;4,6;0;NA;NA;2;6,8;3,5
"Bay of Biscay and the Iberian Coast";"Gulf of Cadiz";12204;74331;58,8;58,8;0;NA;NA;5;55,6;55,3
"Celtic Seas";"All combined";492691;465311;16,8;3;199;15,9;5,6;67;15,4;6,4
"Celtic Seas";"Northern Celtic Sea";245705;125471;2,5;2,4;70;3,8;3,6;24;6,4;6,2
"Celtic Seas";"Southern Celtic Sea";246986;339841;22,1;3,2;129;22,5;6,7;43;20,4;6,5
"Greater North Sea";"All combined";220977;593966;27,4;15,4;552;33,3;23,8;283;25,2;19,6
"Greater North Sea";"Kattegat";23197;45411;8,6;7;25;9;7,5;6;7,9;5,7
"Greater North Sea";"Norwegian Trench";9484;56578;35,4;10,5;37;35,4;14,5;8;36;9,7
"Greater North Sea";"Central North Sea";18991;80572;25,7;3,1;46;22,8;4,1;38;7,7;2,2
"Greater North Sea";"Southern North Sea";143002;253252;33,2;23,3;286;41,1;32,4;173;28,8;24,6
"Greater North Sea";"Channel";26089;158038;21,7;13,2;158;25,5;18,5;58;25,9;18,8
