"Ecoregion";"Division";"TotExt";"Ext_MPA";"Ext_MPAV";"Pct_MPA";"Pct_MPAV"
"Baltic Sea";"Bothnian area";114889;6074;2882;5,3;2,5
"Baltic Sea";"Gulf of Finland";17831;4002;1732;22,4;9,7
"Baltic Sea";"Gulf of Riga";19106;17987;7007;94,1;36,7
"Baltic Sea";"Baltic Proper";136149;20280;11781;14,9;8,7
"Baltic Sea";"Arkona & Bornholm Basin";59953;28464;16913;47,5;28,2
"Baltic Sea";"Western Baltic Sea";19264;10417;5145;54,1;26,7
"Bay of Biscay and the Iberian Coast";"Gulf of Biscay";84068;69808;9719;83;11,6
"Bay of Biscay and the Iberian Coast";"North-Iberian Atlantic";388827;90455;19857;23,3;5,1
"Bay of Biscay and the Iberian Coast";"South-Iberian Atlantic";268679;37512;27689;14;10,3
"Bay of Biscay and the Iberian Coast";"Gulf of Cadiz";12204;5339;5205;43,7;42,7
"Celtic Seas";"Northern Celtic Sea";245705;25789;20736;10,5;8,4
"Celtic Seas";"Southern Celtic Sea";246986;64746;14613;26,2;5,9
"Greater North Sea";"Kattegat";23197;10266;3923;44,3;16,9
"Greater North Sea";"Norwegian Trench";9484;3849;1916;40,6;20,2
"Greater North Sea";"Central North Sea";18991;2737;1671;14,4;8,8
"Greater North Sea";"Southern North Sea";143002;73482;34282;51,4;24
"Greater North Sea";"Channel";26089;11747;4596;45;17,6
